result_name,value,set_id,dim_name_1,dim_value_1,dim_name_2,dim_value_2,dim_name_3,dim_value_3,dim_name_4,dim_value_4,dim_name_5,dim_value_5,dim_name_6,dim_value_6,measure_id,name,description,source_name
name=HOSPITAL VALUE|||unit=$,2759926,6,Data Element,Charges-Billed,Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1253,Billed charges unmapped >$1 mil or >5% of billed chgs,Unmapped billed charges (CTC Code = 69999999) >$1 million or >5% of total billed charges. Unmapped charges are not available for analysis.,PHIS
name=PHIS MEDIAN|||unit=%,0,6,Data Element,Charges-Billed,Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1254,Billed charges unmapped rate >$1 mil or >5% of billed chgs,Unmapped billed charge rate (CTC Code = 69999999) >$1 million or >5% of total billed charges. Unmapped charges are not available for analysis.,PHIS
name=PHIS MEDIAN|||unit=$,53153,6,Data Element,Charges-Billed,Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1253,Billed charges unmapped >$1 mil or >5% of billed chgs,Unmapped billed charges (CTC Code = 69999999) >$1 million or >5% of total billed charges. Unmapped charges are not available for analysis.,PHIS
name=HOSPITAL VALUE|||unit=cases,54,6,Data Element,Charges-Billed,Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1277,Financial data missing cases. (CTC Flag=No and >=.5%),Financial data missing cases. (CTC Flag=No and rate >= .5% and <100%),PHIS
name=PHIS MEDIAN|||unit=cases,,6,Data Element,Charges-Billed,Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1277,Financial data missing cases. (CTC Flag=No and >=.5%),Financial data missing cases. (CTC Flag=No and rate >= .5% and <100%),PHIS
name=PHIS MEDIAN|||unit=%,,6,Data Element,Charges-Billed,Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1278,Financial data missing rate. (CTC Flag=No and >=.5%),Financial data missing rate >= .5% of cases. (CTC Flag=No and rate >= .5% and <100%),PHIS
name=HOSPITAL VALUE|||unit=,,7,Data Element,Px End Hour (Principal Px),Issue Period,2006 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2236,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,7,Data Element,Px End Hour (Principal Px),Issue Period,2006 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2236,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=codes,1,8,Data Element,Country,Issue Period,2008 Q3,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1997,Country code invalid value count,Country code invalid or null value count,PHIS
name=PHIS MEDIAN|||unit=codes,,8,Data Element,Country,Issue Period,2008 Q3,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1997,Country code invalid value count,Country code invalid or null value count,PHIS
name=PHIS MEDIAN|||unit=cases,0,8,Data Element,Country,Issue Period,2008 Q3,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1996,Country code invalid entry cases.,Country code invalid or null entry cases,PHIS
name=HOSPITAL VALUE|||unit=cases,1,8,Data Element,Country,Issue Period,2008 Q3,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1996,Country code invalid entry cases.,Country code invalid or null entry cases,PHIS
name=HOSPITAL VALUE|||unit=cases,1,9,Data Element,Country,Issue Period,2010 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2002,Country code invalid entry cases.,Country code invalid or null entry cases,PHIS
name=PHIS MEDIAN|||unit=codes,,9,Data Element,Country,Issue Period,2010 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2003,Country code invalid value count,Country code invalid or null value count,PHIS
name=PHIS MEDIAN|||unit=cases,0,9,Data Element,Country,Issue Period,2010 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2002,Country code invalid entry cases.,Country code invalid or null entry cases,PHIS
name=HOSPITAL VALUE|||unit=codes,1,9,Data Element,Country,Issue Period,2010 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2003,Country code invalid value count,Country code invalid or null value count,PHIS
name=HOSPITAL VALUE|||unit=,,10,Data Element,Discharge Hour Indicator,Issue Period,2014 Q3,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1494,"Disch Hr Ind=Default, but Disch Hr spread thru the day.","Discharge Hour Indicator is not consistent with entries. Default values indicated for >=95% of cases, but discharge hour values are spread throughout the day  (>=1 Discharge Hour single value measure is <19% and not =0%)",PHIS
name=PHIS MEDIAN|||unit=%,,10,Data Element,Discharge Hour Indicator,Issue Period,2014 Q3,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,2159,Disch Hr Ind = default for >99% of cases,Discharge Hour Indicator = default for >99% of cases,PHIS
name=HOSPITAL VALUE|||unit=%,100,10,Data Element,Discharge Hour Indicator,Issue Period,2014 Q3,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,2159,Disch Hr Ind = default for >99% of cases,Discharge Hour Indicator = default for >99% of cases,PHIS
name=PHIS MEDIAN|||unit=,,10,Data Element,Discharge Hour Indicator,Issue Period,2014 Q3,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1494,"Disch Hr Ind=Default, but Disch Hr spread thru the day.","Discharge Hour Indicator is not consistent with entries. Default values indicated for >=95% of cases, but discharge hour values are spread throughout the day  (>=1 Discharge Hour single value measure is <19% and not =0%)",PHIS
name=HOSPITAL VALUE|||unit=$,287672,11,Data Element,Charges-Billed,Issue Period,2005 Q3,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1333,Billed charges unmapped >$50K or >.2% of billed chgs,Unmapped billed charges (CTC Code = 69999999) >$50K or >.2% of total billed charges. Unmapped charges are not available for analysis.,PHIS
name=HOSPITAL VALUE|||unit=%,2.4748,11,Data Element,Charges-Billed,Issue Period,2005 Q3,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1334,Billed charges unmapped rate >$50K or >.2% of billed chgs,Unmapped billed charge rate (CTC Code = 69999999) >$50K or >.2% of total billed charges. Unmapped charges are not available for analysis.,PHIS
name=PHIS MEDIAN|||unit=%,0.109,11,Data Element,Charges-Billed,Issue Period,2005 Q3,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1334,Billed charges unmapped rate >$50K or >.2% of billed chgs,Unmapped billed charge rate (CTC Code = 69999999) >$50K or >.2% of total billed charges. Unmapped charges are not available for analysis.,PHIS
name=PHIS MEDIAN|||unit=$,9327,11,Data Element,Charges-Billed,Issue Period,2005 Q3,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1333,Billed charges unmapped >$50K or >.2% of billed chgs,Unmapped billed charges (CTC Code = 69999999) >$50K or >.2% of total billed charges. Unmapped charges are not available for analysis.,PHIS
name=HOSPITAL VALUE|||unit=,,12,Data Element,Post Mortem Encounters,Issue Period,2012 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,165,Same MRN for both death and post-mortem encounters.,"Same medical record number for both the death and post-mortem encounters. Use Universal Measure ""Actual Mortalities"" as needed.",PHIS
name=PHIS MEDIAN|||unit=,,12,Data Element,Post Mortem Encounters,Issue Period,2012 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,165,Same MRN for both death and post-mortem encounters.,"Same medical record number for both the death and post-mortem encounters. Use Universal Measure ""Actual Mortalities"" as needed.",PHIS
name=PHIS MEDIAN|||unit=%,99.8,13,Data Element,Zip Code,Issue Period,2011 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,1691,Zip code last 4 digits missing in >=20% of cases,Zip Code last 4 digits missing in >=20% of cases (Zip +4 = #####0000),PHIS
name=HOSPITAL VALUE|||unit=%,99.7,13,Data Element,Zip Code,Issue Period,2011 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,1691,Zip code last 4 digits missing in >=20% of cases,Zip Code last 4 digits missing in >=20% of cases (Zip +4 = #####0000),PHIS
name=HOSPITAL VALUE|||unit=%,100,14,Data Element,Medical Discharge Hr Indicator,Issue Period,2012 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2162,Med Disch Hr Ind = default for >99% of cases,Medical Discharge Hour Indicator = default for >99% of cases,PHIS
name=HOSPITAL VALUE|||unit=,,14,Data Element,Medical Discharge Hr Indicator,Issue Period,2012 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1832,"Med Disch Hr Ind=Default, but Med Disch Hr spread thru day.","Medical Discharge Hour Indicator is not consistent with entries. Default values indicated for >=95% of cases, but discharge hour values are spread throughout the day  (>=1 Medical Discharge Hour single value measure is <18% and not =0%)",PHIS
name=PHIS MEDIAN|||unit=,,14,Data Element,Medical Discharge Hr Indicator,Issue Period,2012 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1832,"Med Disch Hr Ind=Default, but Med Disch Hr spread thru day.","Medical Discharge Hour Indicator is not consistent with entries. Default values indicated for >=95% of cases, but discharge hour values are spread throughout the day  (>=1 Medical Discharge Hour single value measure is <18% and not =0%)",PHIS
name=PHIS MEDIAN|||unit=%,,14,Data Element,Medical Discharge Hr Indicator,Issue Period,2012 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2162,Med Disch Hr Ind = default for >99% of cases,Medical Discharge Hour Indicator = default for >99% of cases,PHIS
name=PHIS MEDIAN|||unit=%,0,15,Data Element,Admit Hour,Issue Period,2009 Q4,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1119,Admit Hour is missing for >= .1% of cases.,Admit Hour not between 00 and 23 for >= .1% of cases.,PHIS
name=HOSPITAL VALUE|||unit=%,0.2,15,Data Element,Admit Hour,Issue Period,2009 Q4,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1119,Admit Hour is missing for >= .1% of cases.,Admit Hour not between 00 and 23 for >= .1% of cases.,PHIS
name=HOSPITAL VALUE|||unit=,,16,Data Element,Observation Information,Issue Period,2010 Q4,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,139,Maximum hours for observation patient is 49-96.,Maximum hours for observation patient is 49-96.,PHIS
name=PHIS MEDIAN|||unit=,,16,Data Element,Observation Information,Issue Period,2010 Q4,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,139,Maximum hours for observation patient is 49-96.,Maximum hours for observation patient is 49-96.,PHIS
name=PHIS MEDIAN|||unit=,,17,Data Element,Medical Discharge Hr Indicator,Issue Period,2006 Q3,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2207,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=,,17,Data Element,Medical Discharge Hr Indicator,Issue Period,2006 Q3,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2207,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=%,0,18,Data Element,Principal Diagnosis Code (PDx),Issue Period,2009 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,1614,PDx code is invalid for >=.5% of cases.,Principal Diagnosis code is invalid for >=.5% of cases.,PHIS
name=HOSPITAL VALUE|||unit=%,0.7,18,Data Element,Principal Diagnosis Code (PDx),Issue Period,2009 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,1614,PDx code is invalid for >=.5% of cases.,Principal Diagnosis code is invalid for >=.5% of cases.,PHIS
name=PHIS MEDIAN|||unit=,,19,Data Element,Px Anesthesia Type,Issue Period,2005 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2226,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=,,19,Data Element,Px Anesthesia Type,Issue Period,2005 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2226,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=%,100,20,Data Element,Px Start Hour,Issue Period,2010 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1952,Px start hour is missing for 100% of Px.,Px start hour is missing for 100% of Px. (Start Hour = 99),PHIS
name=PHIS MEDIAN|||unit=%,,20,Data Element,Px Start Hour,Issue Period,2010 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1952,Px start hour is missing for 100% of Px.,Px start hour is missing for 100% of Px. (Start Hour = 99),PHIS
name=HOSPITAL VALUE|||unit=cases,13,21,Data Element,Present on Admission,Issue Period,2013 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1598,"POA All Dx missing, unknown or invalid for 1-24 entries","POA All Dx missing, unknown or invalid for 1-24 entries. (POA value not = Y, N, U, W, 1, @)",PHIS
name=PHIS MEDIAN|||unit=cases,,21,Data Element,Present on Admission,Issue Period,2013 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1602,"POA PDx missing, unknown or invalid for 1-14 entries","POA PDx missing, unknown or invalid for 1-14 entries. (POA value not = Y, N, U, W, 1)",PHIS
name=HOSPITAL VALUE|||unit=%,0,21,Data Element,Present on Admission,Issue Period,2013 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,55,"POA All Dx missing, unknown or invalid entry rate >0%.","POA All Dx missing, unknown or invalid entry rate >0%. (POA value not = Y, N, U, W, 1, @)",PHIS
name=PHIS MEDIAN|||unit=cases,,21,Data Element,Present on Admission,Issue Period,2013 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1598,"POA All Dx missing, unknown or invalid for 1-24 entries","POA All Dx missing, unknown or invalid for 1-24 entries. (POA value not = Y, N, U, W, 1, @)",PHIS
name=PHIS MEDIAN|||unit=%,0,21,Data Element,Present on Admission,Issue Period,2013 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,36,"POA PDx missing, unknown or invalid entry rate >0%.","POA PDx missing, unknown or invalid entry rate >0%. (POA value not = Y, N, U, W, 1)",PHIS
name=HOSPITAL VALUE|||unit=%,0.3,21,Data Element,Present on Admission,Issue Period,2013 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,36,"POA PDx missing, unknown or invalid entry rate >0%.","POA PDx missing, unknown or invalid entry rate >0%. (POA value not = Y, N, U, W, 1)",PHIS
name=HOSPITAL VALUE|||unit=cases,13,21,Data Element,Present on Admission,Issue Period,2013 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1602,"POA PDx missing, unknown or invalid for 1-14 entries","POA PDx missing, unknown or invalid for 1-14 entries. (POA value not = Y, N, U, W, 1)",PHIS
name=PHIS MEDIAN|||unit=%,0,21,Data Element,Present on Admission,Issue Period,2013 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,55,"POA All Dx missing, unknown or invalid entry rate >0%.","POA All Dx missing, unknown or invalid entry rate >0%. (POA value not = Y, N, U, W, 1, @)",PHIS
name=HOSPITAL VALUE|||unit=%,100,22,Data Element,Admit Hour Indicator,Issue Period,2013 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1173,Adm Hr Ind = default for >99% of cases,Admit Hour Indicator = default for >99% of cases,PHIS
name=HOSPITAL VALUE|||unit=,,22,Data Element,Admit Hour Indicator,Issue Period,2013 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1178,"Adm Hr Ind =Default, but Adm Hr spread thru day","Admit Hour Indicator is not consistent with entries. Default values indicated for >=95% of cases, but Admit Hour values are spread throughout the day (>=1 Admit Hour single value measure is <10% and not =0%)",PHIS
name=PHIS MEDIAN|||unit=%,,22,Data Element,Admit Hour Indicator,Issue Period,2013 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1173,Adm Hr Ind = default for >99% of cases,Admit Hour Indicator = default for >99% of cases,PHIS
name=PHIS MEDIAN|||unit=,,22,Data Element,Admit Hour Indicator,Issue Period,2013 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1178,"Adm Hr Ind =Default, but Adm Hr spread thru day","Admit Hour Indicator is not consistent with entries. Default values indicated for >=95% of cases, but Admit Hour values are spread throughout the day (>=1 Admit Hour single value measure is <10% and not =0%)",PHIS
name=HOSPITAL VALUE|||unit=%,6.3,23,Data Element,Patient Type,Issue Period,2012 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1571,Normal newborn rate is >5% of neonates.,Normal newborn rate >5% of neonates age <=28 days. (MS-DRG 795 or CMS DRG 391 if MS-DRG not available),PHIS
name=PHIS MEDIAN|||unit=%,5.7,23,Data Element,Patient Type,Issue Period,2012 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1571,Normal newborn rate is >5% of neonates.,Normal newborn rate >5% of neonates age <=28 days. (MS-DRG 795 or CMS DRG 391 if MS-DRG not available),PHIS
name=HOSPITAL VALUE|||unit=%,100,24,Data Element,Px End Hour,Issue Period,2010 Q4,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2121,Px end hour is missing for 100% of Px.,Px end hour is missing for 100% of Px.  (End Hour = 99),PHIS
name=PHIS MEDIAN|||unit=%,,24,Data Element,Px End Hour,Issue Period,2010 Q4,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2121,Px end hour is missing for 100% of Px.,Px end hour is missing for 100% of Px.  (End Hour = 99),PHIS
name=HOSPITAL VALUE|||unit=%,100,25,Data Element,NICU Flag (Reported),Issue Period,2008 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2041,Reported NICU flag = 100% No,Reported NICU flag = 100% No,PHIS
name=PHIS MEDIAN|||unit=%,,25,Data Element,NICU Flag (Reported),Issue Period,2008 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2040,Reported NICU days = 0 for 100% of cases,Reported NICU days = 0 for 100% of cases,PHIS
name=HOSPITAL VALUE|||unit=,,25,Data Element,NICU Flag (Reported),Issue Period,2008 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2042,"Reported NICU flag = 100% No, Chg based NICU count >=1 case",Reported NICU flag not consistent with charge-based NICU flag. Charge based NICU count >=1 case (Reported NICU flag = 100% No),PHIS
name=HOSPITAL VALUE|||unit=%,100,25,Data Element,NICU Flag (Reported),Issue Period,2008 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2040,Reported NICU days = 0 for 100% of cases,Reported NICU days = 0 for 100% of cases,PHIS
name=PHIS MEDIAN|||unit=%,,25,Data Element,NICU Flag (Reported),Issue Period,2008 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2041,Reported NICU flag = 100% No,Reported NICU flag = 100% No,PHIS
name=PHIS MEDIAN|||unit=,,25,Data Element,NICU Flag (Reported),Issue Period,2008 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2042,"Reported NICU flag = 100% No, Chg based NICU count >=1 case",Reported NICU flag not consistent with charge-based NICU flag. Charge based NICU count >=1 case (Reported NICU flag = 100% No),PHIS
name=HOSPITAL VALUE|||unit=,,26,Data Element,Px Start Date,Issue Period,2004 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2209,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,26,Data Element,Px Start Date,Issue Period,2004 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2209,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=%,0.1,27,Data Element,Disposition,Issue Period,2007 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1514,Disposition >= .1% unknown and/or invalid.,Disposition >= .1% unknown and/or invalid.,PHIS
name=PHIS MEDIAN|||unit=%,0,27,Data Element,Disposition,Issue Period,2007 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1514,Disposition >= .1% unknown and/or invalid.,Disposition >= .1% unknown and/or invalid.,PHIS
name=HOSPITAL VALUE|||unit=,,28,Data Element,Payer-Tertiary,Issue Period,2005 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2281,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,28,Data Element,Payer-Tertiary,Issue Period,2005 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2281,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=%,0,29,Data Element,Disposition,Issue Period,2014 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,1520,Disposition >= .1% unknown and/or invalid.,Disposition >= .1% unknown and/or invalid.,PHIS
name=HOSPITAL VALUE|||unit=%,0.6,29,Data Element,Disposition,Issue Period,2014 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,1520,Disposition >= .1% unknown and/or invalid.,Disposition >= .1% unknown and/or invalid.,PHIS
name=PHIS MEDIAN|||unit=Px,,30,Data Element,Px End Date,Issue Period,2008 Q4,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2103,Px count with missing px end dates.,Px count with missing or null px end dates.,PHIS
name=HOSPITAL VALUE|||unit=Px,6828,30,Data Element,Px End Date,Issue Period,2008 Q4,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2103,Px count with missing px end dates.,Px count with missing or null px end dates.,PHIS
name=PHIS MEDIAN|||unit=,,31,Data Element,Px Start Hour (Principal Px),Issue Period,2005 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2214,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=,,31,Data Element,Px Start Hour (Principal Px),Issue Period,2005 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2214,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
